unique_user,transaction_timestamp,category,state,is_fraud,prev_timestamp,difference
Aaron Murray Meadville,2019-04-01 04:21:34,misc_pos,MO,0,2019-04-01 04:21:04,0 days 00:00:30
Aaron Murray Meadville,2019-04-01 07:12:11,grocery_pos,MO,0,2019-04-01 07:10:52,0 days 00:01:19
Aaron Murray Meadville,2019-05-17 14:52:43,kids_pets,MO,0,2019-05-17 14:51:56,0 days 00:00:47
Aaron Murray Meadville,2019-05-23 01:23:19,grocery_pos,MO,0,2019-05-23 01:21:22,0 days 00:01:57
Aaron Murray Meadville,2019-06-05 19:00:52,entertainment,MO,0,2019-06-05 18:59:12,0 days 00:01:40
Aaron Murray Meadville,2019-06-06 05:39:38,misc_pos,MO,0,2019-06-06 05:37:56,0 days 00:01:42
Aaron Murray Meadville,2019-06-10 04:16:15,gas_transport,MO,0,2019-06-10 04:14:24,0 days 00:01:51
Aaron Murray Meadville,2019-07-13 21:00:43,personal_care,MO,0,2019-07-13 20:59:36,0 days 00:01:07
Aaron Murray Meadville,2019-07-28 16:27:47,travel,MO,0,2019-07-28 16:26:17,0 days 00:01:30
Aaron Murray Meadville,2019-08-14 04:17:40,grocery_pos,MO,0,2019-08-14 04:17:23,0 days 00:00:17
Aaron Murray Meadville,2019-11-03 20:04:02,personal_care,MO,0,2019-11-03 20:02:20,0 days 00:01:42
Aaron Murray Meadville,2019-12-01 19:17:34,personal_care,MO,0,2019-12-01 19:15:58,0 days 00:01:36
Aaron Murray Meadville,2020-02-28 12:59:30,personal_care,MO,0,2020-02-28 12:58:55,0 days 00:00:35
Aaron Murray Meadville,2020-03-26 15:22:50,entertainment,MO,0,2020-03-26 15:21:33,0 days 00:01:17
Aaron Murray Meadville,2020-04-02 13:14:51,home,MO,0,2020-04-02 13:13:15,0 days 00:01:36
Aaron Murray Meadville,2020-05-03 01:45:14,misc_pos,MO,0,2020-05-03 01:43:42,0 days 00:01:32
Aaron Pena Burke,2019-10-05 17:13:54,kids_pets,VA,0,2019-10-05 17:13:25,0 days 00:00:29
Aaron Pena Burke,2019-12-13 03:00:38,entertainment,VA,0,2019-12-13 02:59:55,0 days 00:00:43
Aaron Pena Burke,2020-02-02 17:36:14,food_dining,VA,0,2020-02-02 17:34:16,0 days 00:01:58
Aaron Pena Burke,2020-03-14 00:47:05,food_dining,VA,0,2020-03-14 00:46:55,0 days 00:00:10
Adam Keller Sardis,2019-04-13 22:35:44,travel,AL,1,2019-04-13 22:35:09,0 days 00:00:35
Adam Keller Sardis,2019-12-14 17:58:06,food_dining,AL,0,2019-12-14 17:57:13,0 days 00:00:53
Adam Kirk Big Indian,2019-05-28 16:54:26,travel,NY,0,2019-05-28 16:53:49,0 days 00:00:37
Adam Kirk Big Indian,2019-07-28 06:52:19,gas_transport,NY,0,2019-07-28 06:51:26,0 days 00:00:53
Adam Kirk Big Indian,2019-08-03 05:13:33,grocery_pos,NY,0,2019-08-03 05:12:04,0 days 00:01:29
Adam Kirk Big Indian,2019-10-05 01:14:36,misc_pos,NY,0,2019-10-05 01:13:24,0 days 00:01:12
Adam Kirk Big Indian,2020-04-13 15:16:12,health_fitness,NY,0,2020-04-13 15:14:53,0 days 00:01:19
Adam Mcdonald South Hero,2020-03-31 10:27:50,misc_pos,VT,0,2020-03-31 10:26:46,0 days 00:01:04
Adam Mcdonald South Hero,2020-06-03 22:19:36,shopping_pos,VT,1,2020-06-03 22:18:16,0 days 00:01:20
Adam Riddle Mount Saint Joseph,2019-04-27 16:06:56,entertainment,OH,0,2019-04-27 16:05:08,0 days 00:01:48
Adam Riddle Mount Saint Joseph,2019-06-01 15:11:01,food_dining,OH,0,2019-06-01 15:09:33,0 days 00:01:28
Adam Riddle Mount Saint Joseph,2019-08-18 17:02:30,food_dining,OH,0,2019-08-18 17:00:32,0 days 00:01:58
Adam Riddle Mount Saint Joseph,2019-09-03 23:25:30,home,OH,0,2019-09-03 23:24:01,0 days 00:01:29
Adam Riddle Mount Saint Joseph,2019-10-05 02:25:36,misc_pos,OH,0,2019-10-05 02:24:53,0 days 00:00:43
Adam Riddle Mount Saint Joseph,2019-11-16 14:03:33,travel,OH,0,2019-11-16 14:02:33,0 days 00:01:00
Adam Riddle Mount Saint Joseph,2019-12-10 19:11:44,entertainment,OH,0,2019-12-10 19:10:50,0 days 00:00:54
Adam Riddle Mount Saint Joseph,2019-12-13 19:11:00,health_fitness,OH,0,2019-12-13 19:09:13,0 days 00:01:47
Adam Riddle Mount Saint Joseph,2019-12-19 01:30:36,gas_transport,OH,0,2019-12-19 01:30:25,0 days 00:00:11
Adam Riddle Mount Saint Joseph,2020-04-16 02:42:05,grocery_pos,OH,0,2020-04-16 02:41:28,0 days 00:00:37
Adam Riddle Mount Saint Joseph,2020-05-04 23:35:00,home,OH,0,2020-05-04 23:34:55,0 days 00:00:05
Adam Riddle Mount Saint Joseph,2020-05-24 13:08:39,kids_pets,OH,0,2020-05-24 13:08:01,0 days 00:00:38
Adam Riddle Mount Saint Joseph,2020-06-07 23:39:04,entertainment,OH,0,2020-06-07 23:37:19,0 days 00:01:45
Adam Riddle Mount Saint Joseph,2020-06-21 06:02:20,misc_pos,OH,0,2020-06-21 06:00:42,0 days 00:01:38
Adam Santos Glendale,2019-01-28 19:28:57,travel,CA,0,2019-01-28 19:28:04,0 days 00:00:53
Adam Santos Glendale,2019-02-14 12:15:05,entertainment,CA,0,2019-02-14 12:13:16,0 days 00:01:49
Adam Santos Glendale,2019-03-11 16:33:27,misc_pos,CA,0,2019-03-11 16:32:55,0 days 00:00:32
Adam Santos Glendale,2019-04-12 19:58:55,food_dining,CA,0,2019-04-12 19:57:18,0 days 00:01:37
Adam Santos Glendale,2019-05-10 20:27:24,shopping_pos,CA,0,2019-05-10 20:26:19,0 days 00:01:05
Adam Santos Glendale,2019-06-05 12:33:28,misc_pos,CA,0,2019-06-05 12:32:07,0 days 00:01:21
Adam Santos Glendale,2019-06-17 20:46:12,misc_pos,CA,0,2019-06-17 20:44:16,0 days 00:01:56
Adam Santos Glendale,2019-06-23 17:38:37,kids_pets,CA,0,2019-06-23 17:37:50,0 days 00:00:47
Adam Santos Glendale,2019-06-26 14:41:22,entertainment,CA,0,2019-06-26 14:39:23,0 days 00:01:59
Adam Santos Glendale,2019-07-07 02:44:53,gas_transport,CA,0,2019-07-07 02:43:18,0 days 00:01:35
Adam Santos Glendale,2019-08-09 20:58:13,entertainment,CA,0,2019-08-09 20:57:35,0 days 00:00:38
Adam Santos Glendale,2019-08-25 15:27:49,misc_pos,CA,0,2019-08-25 15:27:10,0 days 00:00:39
Adam Santos Glendale,2019-09-12 15:09:39,health_fitness,CA,0,2019-09-12 15:09:38,0 days 00:00:01
Adam Santos Glendale,2019-09-13 15:52:48,misc_pos,CA,0,2019-09-13 15:51:17,0 days 00:01:31
Adam Santos Glendale,2019-10-24 18:36:51,entertainment,CA,0,2019-10-24 18:36:12,0 days 00:00:39
Adam Santos Glendale,2019-11-18 16:59:09,home,CA,0,2019-11-18 16:58:47,0 days 00:00:22
Adam Santos Glendale,2019-11-30 14:40:51,home,CA,0,2019-11-30 14:39:56,0 days 00:00:55
Adam Santos Glendale,2019-12-21 18:29:43,health_fitness,CA,0,2019-12-21 18:28:50,0 days 00:00:53
Adam Santos Glendale,2019-12-30 22:43:48,entertainment,CA,0,2019-12-30 22:42:03,0 days 00:01:45
Adam Santos Glendale,2020-03-16 21:45:29,entertainment,CA,0,2020-03-16 21:43:45,0 days 00:01:44
Adam Santos Glendale,2020-04-06 17:23:32,personal_care,CA,0,2020-04-06 17:21:56,0 days 00:01:36
Adam Santos Glendale,2020-04-17 18:47:28,personal_care,CA,0,2020-04-17 18:46:04,0 days 00:01:24
Adam Santos Glendale,2020-04-21 08:11:55,grocery_pos,CA,0,2020-04-21 08:11:52,0 days 00:00:03
Adam Santos Glendale,2020-05-31 21:35:06,home,CA,0,2020-05-31 21:34:32,0 days 00:00:34
Adam Santos Glendale,2020-06-01 19:05:48,entertainment,CA,0,2020-06-01 19:04:41,0 days 00:01:07
Adam Santos Glendale,2020-06-05 18:18:59,health_fitness,CA,0,2020-06-05 18:17:27,0 days 00:01:32
Adam Stark Mc Veytown,2019-01-04 19:31:15,home,PA,0,2019-01-04 19:29:20,0 days 00:01:55
Adam Stark Mc Veytown,2019-02-25 12:05:30,home,PA,0,2019-02-25 12:05:16,0 days 00:00:14
